latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-18.67125,-52.57138,305.04,3.16,1.68,2025-08-01,24,Terra,MODIS,63,6.1NRT,283.14,49.16,N
-18.67382,-52.59989,328.96,3.18,1.69,2025-08-01,24,Terra,MODIS,100,6.1NRT,287.05,164.09,N
-18.67224,-52.5775,317.33,3.16,1.68,2025-08-01,24,Terra,MODIS,95,6.1NRT,284.23,97.71,N
-18.675,-52.60597,322.62,3.18,1.69,2025-08-01,24,Terra,MODIS,100,6.1NRT,287.06,125.93,N
-16.12788,-46.87772,302.54,1.15,1.07,2025-08-01,24,Terra,MODIS,50,6.1NRT,288.67,7.71,N
-14.20573,-42.84053,306.11,1.12,1.05,2025-08-01,24,Terra,MODIS,67,6.1NRT,293.27,6.94,N
-14.20724,-42.85066,308.4,1.12,1.05,2025-08-01,24,Terra,MODIS,74,6.1NRT,293.34,8.58,N
-14.76226,-47.11726,302.64,1.15,1.07,2025-08-01,24,Terra,MODIS,50,6.1NRT,292.53,5.51,N
-21.3844,-43.76014,305.24,1,1,2025-08-01,24,Terra,MODIS,63,6.1NRT,280.52,10.33,N
-22.51921,-47.21851,319.87,1.43,1.18,2025-08-01,24,Terra,MODIS,99,6.1NRT,284.25,34.68,N
-23.04456,-46.65148,309.16,1.34,1.15,2025-08-01,24,Terra,MODIS,77,6.1NRT,283.32,18.46,N
-22.91961,-43.75786,303.97,1.02,1.01,2025-08-01,24,Terra,MODIS,58,6.1NRT,288.71,6.86,N
-23.50934,-47.83171,306.25,1.62,1.25,2025-08-01,24,Terra,MODIS,67,6.1NRT,283.54,20.12,N
-23.52217,-47.84576,357.34,1.63,1.26,2025-08-01,24,Terra,MODIS,100,6.1NRT,286.03,166.88,N
-23.52048,-47.82993,403.27,1.62,1.25,2025-08-01,24,Terra,MODIS,100,6.1NRT,293.87,561.36,N
-10.73341,-50.48805,305.09,1.67,1.27,2025-08-01,26,Terra,MODIS,62,6.1NRT,293.51,10.84,N
-9.35345,-40.31334,312.59,1.93,1.36,2025-08-01,26,Terra,MODIS,85,6.1NRT,292.29,28.21,N
-10.43585,-47.27589,310.18,1.07,1.03,2025-08-01,26,Terra,MODIS,30,6.1NRT,294.54,7.78,N
-10.43458,-47.26635,345.4,1.07,1.03,2025-08-01,26,Terra,MODIS,100,6.1NRT,296.66,55.43,N
-10.4333,-47.25681,321.61,1.07,1.03,2025-08-01,26,Terra,MODIS,100,6.1NRT,295.27,18.76,N
-10.44499,-47.27465,307.83,1.07,1.03,2025-08-01,26,Terra,MODIS,29,6.1NRT,294.78,6.32,N
-10.44371,-47.2651,313.11,1.07,1.03,2025-08-01,26,Terra,MODIS,73,6.1NRT,294.9,9.91,N
-10.44243,-47.25555,310.89,1.07,1.03,2025-08-01,26,Terra,MODIS,29,6.1NRT,294.55,7.98,N
-7.24851,-43.39149,307.94,1.26,1.12,2025-08-01,26,Terra,MODIS,72,6.1NRT,289.62,9.2,N
